Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,,,,NAME,AGE,SALARY,GENDER,DEPARTMENT,POSITION,JOINING DATE,PERFORMANCE SCORE,EMAIL,PHONE NUMBER,
 hannah ,25,50000,Female,HR,Analyst,1/15/2020,F,nan,555-555-5555,,,,Hannah,25,50000,Female,HR,Analyst,1/15/2020,F,,555-555-5555,
 ivy ,40,70000,Male,Sales,Manager,2/20/2020,B,user@domain.com,nan,,,,Ivy,40,70000,Male,Sales,Manager,2/20/2020,B,user@domain.com,,
 david ,nan,55000,Male,Marketing,Assistant,3/25/2019,F,user@domain.com,555-555-5555,,,,David,,55000,Male,Marketing,Assistant,3/25/2019,F,user@domain.com,555-555-5555,
 alice ,35,50000,Male,Sales,Analyst,1/15/2020,C,, ,,,,Alice,35,50000,Male,Sales,Analyst,1/15/2020,C,,,
 alice ,thirty,55000,Female,Sales,Assistant,2/20/2020,F,user@domain.com,555-555-5555,,,,Alice,30,55000,Female,Sales,Assistant,2/20/2020,F,user@domain.com,555-555-5555,
 jack ,thirty,SIXTY THOUSAND,Other,Sales,Assistant,5-Apr-18,F,email@example.com,nan,,,,Jack,30,60000,Other,Sales,Assistant,4/5/2018,F,email@example.com,,
 david ,35,70000,Male,HR,Clerk,2/20/2020,A,nan,nan,,,,David,35,70000,Male,HR,Clerk,2/20/2020,A,,,
 grace ,nan,65000,Other,HR,Manager,2/20/2020,A,name@company.org,555-555-5555,,,,Grace,,65000,Other,HR,Manager,2/20/2020,A,name@company.org,555-555-5555,
 bob ,nan,55000,Male,Sales,Assistant,1/15/2020,A,nan,nan,,,,Bob,,55000,Male,Sales,Assistant,1/15/2020,A,,,
 charlie ,40,SIXTY THOUSAND,Other,HR,Director,2019.12.01,F,user@domain.com,nan,,,,Charlie,40,60000,Other,HR,Director,12/1/2019,F,user@domain.com,,
 alice ,40,65000,Female,Marketing,Manager,2019.12.01,B,name@company.org,555-555-5555,,,,Alice,40,65000,Female,Marketing,Manager,12/1/2019,B,name@company.org,555-555-5555,
 eve ,50,65000,Female,Sales,Analyst,2019.12.01,C,, ,,,,Eve,50,65000,Female,Sales,Analyst,12/1/2019,C,,,
 alice ,50,55000,Male,HR,Clerk,2/20/2020,C,nan,nan,,,,Alice,50,55000,Male,HR,Clerk,2/20/2020,C,,,
 hannah ,25,50000,Other,IT,Analyst,1/15/2020,B,name@company.org,nan,,,,Hannah,25,50000,Other,IT,Analyst,1/15/2020,B,name@company.org,,
 alice ,thirty,55000,Female,Sales,Analyst,3/25/2019,B,name@company.org,nan,,,,Alice,30,55000,Female,Sales,Analyst,3/25/2019,B,name@company.org,,
 alice ,40,SIXTY THOUSAND,Male,Sales,Manager,2/20/2020,C,name@company.org,nan,,,,Alice,40,60000,Male,Sales,Manager,2/20/2020,C,name@company.org,,
 bob ,nan,65000,Male,Marketing,Analyst,2/20/2020,D,email@example.com,555-555-5555,,,,Bob,,65000,Male,Marketing,Analyst,2/20/2020,D,email@example.com,555-555-5555,
 bob ,35,55000,Female,Finance,Assistant,1/15/2020,A,nan, ,,,,Bob,35,55000,Female,Finance,Assistant,1/15/2020,A,,,
 frank ,nan,50000,Female,Finance,Analyst,5-Apr-18,A,name@company.org, ,,,,Frank,,50000,Female,Finance,Analyst,4/5/2018,A,name@company.org,,
 grace ,thirty,55000,Male,Marketing,Clerk,2/20/2020,C,nan,123-456-7890,,,,Grace,30,55000,Male,Marketing,Clerk,2/20/2020,C,,123-456-7890,
 eve ,50,70000,Other,Marketing,Clerk,5-Apr-18,B,name@company.org,nan,,,,Eve,50,70000,Other,Marketing,Clerk,4/5/2018,B,name@company.org,,
 alice ,nan,50000,Other,Marketing,Director,5-Apr-18,D,,nan,,,,Alice,,50000,Other,Marketing,Director,4/5/2018,D,,,
 alice ,25,SIXTY THOUSAND,Other,Finance,Clerk,2019.12.01,C,,123-456-7890,,,,Alice,25,60000,Other,Finance,Clerk,12/1/2019,C,,123-456-7890,
 charlie ,thirty,65000,Male,Marketing,Analyst,1/15/2020,A,, ,,,,Charlie,30,65000,Male,Marketing,Analyst,1/15/2020,A,,,
 bob ,50,55000,Female,HR,Clerk,5-Apr-18,F,user@domain.com,098-765-4321,,,,Bob,50,55000,Female,HR,Clerk,4/5/2018,F,user@domain.com,098-765-4321,
 eve ,35,50000,Male,Sales,Manager,1/15/2020,B,name@company.org,098-765-4321,,,,Eve,35,50000,Male,Sales,Manager,1/15/2020,B,name@company.org,098-765-4321,
 jack ,50,70000,Female,Sales,Clerk,2019.12.01,F,user@domain.com, ,,,,Jack,50,70000,Female,Sales,Clerk,12/1/2019,F,user@domain.com,,
 frank ,25,50000,Other,IT,Assistant,1/15/2020,C,nan,nan,,,,Frank,25,50000,Other,IT,Assistant,1/15/2020,C,,,
 grace ,thirty, NAN ,Other,IT,Manager,2/20/2020,A,user@domain.com,098-765-4321,,,,Grace,30,  ,Other,IT,Manager,2/20/2020,A,user@domain.com,098-765-4321,
 david ,35,70000,Female,Sales,Director,5-Apr-18,D,nan,555-555-5555,,,,David,35,70000,Female,Sales,Director,4/5/2018,D,,555-555-5555,
 grace ,25,SIXTY THOUSAND,Female,HR,Assistant,1/15/2020,F,nan,555-555-5555,,,,Grace,25,60000,Female,HR,Assistant,1/15/2020,F,,555-555-5555,
 hannah ,50,65000,Male,Finance,Analyst,3/25/2019,D,nan,123-456-7890,,,,Hannah,50,65000,Male,Finance,Analyst,3/25/2019,D,,123-456-7890,
 alice ,25,SIXTY THOUSAND,Other,Finance,Analyst,1/15/2020,A,user@domain.com, ,,,,Alice,25,60000,Other,Finance,Analyst,1/15/2020,A,user@domain.com,,
 frank ,thirty,55000,Male,HR,Analyst,5-Apr-18,F,name@company.org, ,,,,Frank,30,55000,Male,HR,Analyst,4/5/2018,F,name@company.org,,
 hannah ,40,50000,Male,Finance,Assistant,2019.12.01,D,user@domain.com,098-765-4321,,,,Hannah,40,50000,Male,Finance,Assistant,12/1/2019,D,user@domain.com,098-765-4321,
 eve ,25, NAN ,Male,Marketing,Assistant,2019.12.01,D,name@company.org,nan,,,,Eve,25,  ,Male,Marketing,Assistant,12/1/2019,D,name@company.org,,
 david ,25,70000,Other,Sales,Assistant,5-Apr-18,F,name@company.org, ,,,,David,25,70000,Other,Sales,Assistant,4/5/2018,F,name@company.org,,
 bob ,50,70000,Male,Sales,Manager,2/20/2020,A,nan,098-765-4321,,,,Bob,50,70000,Male,Sales,Manager,2/20/2020,A,,098-765-4321,
 frank ,50,50000,Male,HR,Manager,2/20/2020,D,user@domain.com,098-765-4321,,,,Frank,50,50000,Male,HR,Manager,2/20/2020,D,user@domain.com,098-765-4321,
 frank ,35, NAN ,Male,Finance,Analyst,2019.12.01,C,name@company.org, ,,,,Frank,35,  ,Male,Finance,Analyst,12/1/2019,C,name@company.org,,
 alice ,50,50000,Male,IT,Clerk,2019.12.01,F,,098-765-4321,,,,Alice,50,50000,Male,IT,Clerk,12/1/2019,F,,098-765-4321,
 ivy ,nan,55000,Male,IT,Analyst,5-Apr-18,B,name@company.org,123-456-7890,,,,Ivy,,55000,Male,IT,Analyst,4/5/2018,B,name@company.org,123-456-7890,
 frank ,thirty,SIXTY THOUSAND,Male,Finance,Director,2/20/2020,B,,123-456-7890,,,,Frank,30,60000,Male,Finance,Director,2/20/2020,B,,123-456-7890,
 charlie ,thirty,70000,Other,IT,Manager,2019.12.01,A,user@domain.com, ,,,,Charlie,30,70000,Other,IT,Manager,12/1/2019,A,user@domain.com,,
 david ,40,55000,Male,HR,Assistant,2/20/2020,C,user@domain.com,nan,,,,David,40,55000,Male,HR,Assistant,2/20/2020,C,user@domain.com,,
 david ,40,SIXTY THOUSAND,Female,HR,Manager,2019.12.01,D,user@domain.com,123-456-7890,,,,David,40,60000,Female,HR,Manager,12/1/2019,D,user@domain.com,123-456-7890,
 charlie ,thirty,55000,Male,Finance,Assistant,1/15/2020,B,name@company.org,123-456-7890,,,,Charlie,30,55000,Male,Finance,Assistant,1/15/2020,B,name@company.org,123-456-7890,
 jack ,40, NAN ,Male,IT,Director,3/25/2019,A,email@example.com, ,,,,Jack,40,  ,Male,IT,Director,3/25/2019,A,email@example.com,,
 charlie ,35,70000,Other,HR,Director,1/15/2020,C,name@company.org,555-555-5555,,,,Charlie,35,70000,Other,HR,Director,1/15/2020,C,name@company.org,555-555-5555,
 charlie ,50,50000,Other,HR,Manager,2019.12.01,C,name@company.org,098-765-4321,,,,Charlie,50,50000,Other,HR,Manager,12/1/2019,C,name@company.org,098-765-4321,
 david ,thirty,50000,Female,Marketing,Assistant,3/25/2019,A,nan,123-456-7890,,,,David,30,50000,Female,Marketing,Assistant,3/25/2019,A,,123-456-7890,
 grace ,40,SIXTY THOUSAND,Female,Marketing,Director,3/25/2019,A,nan,555-555-5555,,,,Grace,40,60000,Female,Marketing,Director,3/25/2019,A,,555-555-5555,
 david ,thirty,65000,Other,HR,Analyst,2019.12.01,D,name@company.org,nan,,,,David,30,65000,Other,HR,Analyst,12/1/2019,D,name@company.org,,
 ivy ,nan, NAN ,Other,Finance,Analyst,2019.12.01,A,,555-555-5555,,,,Ivy,,  ,Other,Finance,Analyst,12/1/2019,A,,555-555-5555,
 alice ,25,SIXTY THOUSAND,Male,Sales,Assistant,2/20/2020,D,nan, ,,,,Alice,25,60000,Male,Sales,Assistant,2/20/2020,D,,,
 hannah ,50,65000,Other,Sales,Manager,2019.12.01,D,name@company.org,nan,,,,Hannah,50,65000,Other,Sales,Manager,12/1/2019,D,name@company.org,,
 grace ,thirty,55000,Female,HR,Director,5-Apr-18,F,email@example.com,nan,,,,Grace,30,55000,Female,HR,Director,4/5/2018,F,email@example.com,,
 bob ,25, NAN ,Male,HR,Manager,2019.12.01,C,,555-555-5555,,,,Bob,25,  ,Male,HR,Manager,12/1/2019,C,,555-555-5555,
 hannah ,40,55000,Female,HR,Analyst,5-Apr-18,C,user@domain.com, ,,,,Hannah,40,55000,Female,HR,Analyst,4/5/2018,C,user@domain.com,,
 alice ,25,70000,Male,Finance,Director,2019.12.01,C,name@company.org,123-456-7890,,,,Alice,25,70000,Male,Finance,Director,12/1/2019,C,name@company.org,123-456-7890,
 ivy ,50, NAN ,Other,Marketing,Manager,2/20/2020,F,name@company.org,555-555-5555,,,,Ivy,50,  ,Other,Marketing,Manager,2/20/2020,F,name@company.org,555-555-5555,
 ivy ,thirty,65000,Female,HR,Clerk,5-Apr-18,D,,123-456-7890,,,,Ivy,30,65000,Female,HR,Clerk,4/5/2018,D,,123-456-7890,
 bob ,nan,70000,Male,HR,Assistant,1/15/2020,D,nan,555-555-5555,,,,Bob,,70000,Male,HR,Assistant,1/15/2020,D,,555-555-5555,
 grace ,40,50000,Male,IT,Assistant,5-Apr-18,A,nan,123-456-7890,,,,Grace,40,50000,Male,IT,Assistant,4/5/2018,A,,123-456-7890,
 jack ,thirty,65000,Other,Finance,Clerk,2/20/2020,F,nan,555-555-5555,,,,Jack,30,65000,Other,Finance,Clerk,2/20/2020,F,,555-555-5555,
 charlie ,50,SIXTY THOUSAND,Other,HR,Analyst,5-Apr-18,A,user@domain.com,nan,,,,Charlie,50,60000,Other,HR,Analyst,4/5/2018,A,user@domain.com,,
 grace ,40,50000,Other,IT,Director,2019.12.01,F,,098-765-4321,,,,Grace,40,50000,Other,IT,Director,12/1/2019,F,,098-765-4321,
 jack ,35,50000,Female,Sales,Assistant,2019.12.01,A,,nan,,,,Jack,35,50000,Female,Sales,Assistant,12/1/2019,A,,,
 ivy ,25,SIXTY THOUSAND,Male,HR,Clerk,2/20/2020,B,nan,123-456-7890,,,,Ivy,25,60000,Male,HR,Clerk,2/20/2020,B,,123-456-7890,
 david ,50, NAN ,Other,HR,Clerk,3/25/2019,C,nan, ,,,,David,50,  ,Other,HR,Clerk,3/25/2019,C,,,
 alice ,35,50000,Female,IT,Analyst,2019.12.01,C,email@example.com,nan,,,,Alice,35,50000,Female,IT,Analyst,12/1/2019,C,email@example.com,,
 bob ,thirty,65000,Female,Finance,Analyst,1/15/2020,D,email@example.com,098-765-4321,,,,Bob,30,65000,Female,Finance,Analyst,1/15/2020,D,email@example.com,098-765-4321,
 alice ,nan,70000,Female,HR,Manager,2/20/2020,B,name@company.org,123-456-7890,,,,Alice,,70000,Female,HR,Manager,2/20/2020,B,name@company.org,123-456-7890,
 eve ,40,50000,Other,Sales,Assistant,5-Apr-18,C,name@company.org,nan,,,,Eve,40,50000,Other,Sales,Assistant,4/5/2018,C,name@company.org,,
 eve ,25,65000,Other,HR,Manager,5-Apr-18,D,,555-555-5555,,,,Eve,25,65000,Other,HR,Manager,4/5/2018,D,,555-555-5555,
 grace ,40,55000,Male,Sales,Clerk,1/15/2020,B,, ,,,,Grace,40,55000,Male,Sales,Clerk,1/15/2020,B,,,
 ivy ,thirty,65000,Male,Marketing,Director,2019.12.01,C,user@domain.com,123-456-7890,,,,Ivy,30,65000,Male,Marketing,Director,12/1/2019,C,user@domain.com,123-456-7890,
 ivy ,40,70000,Other,Marketing,Director,2/20/2020,A,user@domain.com,nan,,,,Ivy,40,70000,Other,Marketing,Director,2/20/2020,A,user@domain.com,,
 charlie ,25,65000,Female,Sales,Analyst,1/15/2020,F,email@example.com,123-456-7890,,,,Charlie,25,65000,Female,Sales,Analyst,1/15/2020,F,email@example.com,123-456-7890,
 charlie ,thirty,SIXTY THOUSAND,Female,Finance,Director,2019.12.01,B,name@company.org,555-555-5555,,,,Charlie,30,60000,Female,Finance,Director,12/1/2019,B,name@company.org,555-555-5555,
 charlie ,40,70000,Female,HR,Director,2/20/2020,D,email@example.com,098-765-4321,,,,Charlie,40,70000,Female,HR,Director,2/20/2020,D,email@example.com,098-765-4321,
 david ,nan, NAN ,Male,HR,Director,5-Apr-18,B,email@example.com,nan,,,,David,,  ,Male,HR,Director,4/5/2018,B,email@example.com,,
 hannah ,50,55000,Female,Marketing,Clerk,2/20/2020,D,name@company.org,123-456-7890,,,,Hannah,50,55000,Female,Marketing,Clerk,2/20/2020,D,name@company.org,123-456-7890,
 frank ,thirty,SIXTY THOUSAND,Male,Sales,Director,3/25/2019,B,user@domain.com,123-456-7890,,,,Frank,30,60000,Male,Sales,Director,3/25/2019,B,user@domain.com,123-456-7890,
 hannah ,50, NAN ,Male,HR,Director,2/20/2020,D,name@company.org,123-456-7890,,,,Hannah,50,  ,Male,HR,Director,2/20/2020,D,name@company.org,123-456-7890,
 alice ,thirty,65000,Female,HR,Director,3/25/2019,C,nan,098-765-4321,,,,Alice,30,65000,Female,HR,Director,3/25/2019,C,,098-765-4321,
 hannah ,nan,70000,Female,Finance,Manager,2/20/2020,A,nan,123-456-7890,,,,Hannah,,70000,Female,Finance,Manager,2/20/2020,A,,123-456-7890,
 david ,50,55000,Other,IT,Clerk,3/25/2019,C,nan, ,,,,David,50,55000,Other,IT,Clerk,3/25/2019,C,,,
 alice ,35,SIXTY THOUSAND,Other,Marketing,Analyst,5-Apr-18,A,, ,,,,Alice,35,60000,Other,Marketing,Analyst,4/5/2018,A,,,
 hannah ,25, NAN ,Female,Marketing,Manager,2019.12.01,C,user@domain.com,123-456-7890,,,,Hannah,25,  ,Female,Marketing,Manager,12/1/2019,C,user@domain.com,123-456-7890,
 david ,35, NAN ,Male,IT,Assistant,3/25/2019,C,user@domain.com, ,,,,David,35,  ,Male,IT,Assistant,3/25/2019,C,user@domain.com,,
 frank ,40,55000,Male,HR,Clerk,3/25/2019,B,,nan,,,,Frank,40,55000,Male,HR,Clerk,3/25/2019,B,,,
 hannah ,nan,65000,Male,Finance,Clerk,5-Apr-18,F,email@example.com, ,,,,Hannah,,65000,Male,Finance,Clerk,4/5/2018,F,email@example.com,,
 david ,35,55000,Male,Finance,Assistant,3/25/2019,D,nan,123-456-7890,,,,David,35,55000,Male,Finance,Assistant,3/25/2019,D,,123-456-7890,
 charlie ,thirty, NAN ,Male,Marketing,Assistant,1/15/2020,D,nan,555-555-5555,,,,Charlie,30,  ,Male,Marketing,Assistant,1/15/2020,D,,555-555-5555,
 ivy ,40,50000,Other,Finance,Assistant,5-Apr-18,D,email@example.com,nan,,,,Ivy,40,50000,Other,Finance,Assistant,4/5/2018,D,email@example.com,,
 charlie ,40,SIXTY THOUSAND,Female,IT,Analyst,1/15/2020,A,name@company.org,098-765-4321,,,,Charlie,40,60000,Female,IT,Analyst,1/15/2020,A,name@company.org,098-765-4321,
 ivy ,35,55000,Other,HR,Director,5-Apr-18,D,name@company.org,123-456-7890,,,,Ivy,35,55000,Other,HR,Director,4/5/2018,D,name@company.org,123-456-7890,
 bob ,35, NAN ,Male,IT,Clerk,3/25/2019,D,user@domain.com,098-765-4321,,,,Bob,35,  ,Male,IT,Clerk,3/25/2019,D,user@domain.com,098-765-4321,
 bob ,nan,65000,Male,Sales,Director,1/15/2020,B,,555-555-5555,,,,Bob,,65000,Male,Sales,Director,1/15/2020,B,,555-555-5555,
 bob ,25, NAN ,Male,Marketing,Director,3/25/2019,C,user@domain.com,098-765-4321,,,,Bob,25,  ,Male,Marketing,Director,3/25/2019,C,user@domain.com,098-765-4321,
 frank ,35,65000,Male,Finance,Assistant,5-Apr-18,D,name@company.org,123-456-7890,,,,Frank,35,65000,Male,Finance,Assistant,4/5/2018,D,name@company.org,123-456-7890,
 charlie ,35,55000,Female,Sales,Analyst,3/25/2019,F,email@example.com,123-456-7890,,,,Charlie,35,55000,Female,Sales,Analyst,3/25/2019,F,email@example.com,123-456-7890,
 ivy ,50,65000,Male,Finance,Manager,1/15/2020,D,user@domain.com,555-555-5555,,,,Ivy,50,65000,Male,Finance,Manager,1/15/2020,D,user@domain.com,555-555-5555,
 david ,thirty,70000,Female,HR,Analyst,1/15/2020,A,nan,123-456-7890,,,,David,30,70000,Female,HR,Analyst,1/15/2020,A,,123-456-7890,
 alice ,50,70000,Male,HR,Director,3/25/2019,A,nan,555-555-5555,,,,Alice,50,70000,Male,HR,Director,3/25/2019,A,,555-555-5555,
 david ,50,70000,Female,HR,Analyst,2/20/2020,A,email@example.com,555-555-5555,,,,David,50,70000,Female,HR,Analyst,2/20/2020,A,email@example.com,555-555-5555,
 alice ,40,50000,Other,Finance,Assistant,5-Apr-18,D,name@company.org,123-456-7890,,,,Alice,40,50000,Other,Finance,Assistant,4/5/2018,D,name@company.org,123-456-7890,
 eve ,25,55000,Male,Sales,Manager,5-Apr-18,B,nan, ,,,,Eve,25,55000,Male,Sales,Manager,4/5/2018,B,,,
 david ,thirty, NAN ,Female,HR,Assistant,3/25/2019,F,nan,555-555-5555,,,,David,30,  ,Female,HR,Assistant,3/25/2019,F,,555-555-5555,
 hannah ,nan, NAN ,Other,Sales,Manager,2/20/2020,D,,123-456-7890,,,,Hannah,,  ,Other,Sales,Manager,2/20/2020,D,,123-456-7890,
 hannah ,nan,50000,Male,Finance,Director,1/15/2020,B,user@domain.com, ,,,,Hannah,,50000,Male,Finance,Director,1/15/2020,B,user@domain.com,,
 grace ,35,65000,Male,Sales,Manager,2019.12.01,B,name@company.org,555-555-5555,,,,Grace,35,65000,Male,Sales,Manager,12/1/2019,B,name@company.org,555-555-5555,
 charlie ,35,50000,Male,Finance,Manager,2019.12.01,D,user@domain.com, ,,,,Charlie,35,50000,Male,Finance,Manager,12/1/2019,D,user@domain.com,,
 alice ,nan,65000,Female,Finance,Manager,3/25/2019,D,name@company.org,nan,,,,Alice,,65000,Female,Finance,Manager,3/25/2019,D,name@company.org,,
 alice ,35,65000,Female,Marketing,Analyst,2/20/2020,B,nan,nan,,,,Alice,35,65000,Female,Marketing,Analyst,2/20/2020,B,,,
 charlie ,25,SIXTY THOUSAND,Other,Finance,Analyst,2/20/2020,B,, ,,,,Charlie,25,60000,Other,Finance,Analyst,2/20/2020,B,,,
 frank ,50, NAN ,Female,Finance,Director,5-Apr-18,B,user@domain.com,555-555-5555,,,,Frank,50,  ,Female,Finance,Director,4/5/2018,B,user@domain.com,555-555-5555,
 grace ,35,70000,Female,IT,Manager,1/15/2020,D,nan,123-456-7890,,,,Grace,35,70000,Female,IT,Manager,1/15/2020,D,,123-456-7890,
 frank ,40,65000,Male,HR,Clerk,2/20/2020,B,name@company.org,098-765-4321,,,,Frank,40,65000,Male,HR,Clerk,2/20/2020,B,name@company.org,098-765-4321,
 frank ,35,SIXTY THOUSAND,Male,Marketing,Director,2019.12.01,A,user@domain.com,123-456-7890,,,,Frank,35,60000,Male,Marketing,Director,12/1/2019,A,user@domain.com,123-456-7890,
 frank ,thirty, NAN ,Male,Marketing,Manager,1/15/2020,D,user@domain.com,098-765-4321,,,,Frank,30,  ,Male,Marketing,Manager,1/15/2020,D,user@domain.com,098-765-4321,
 charlie ,25,70000,Male,Marketing,Manager,1/15/2020,A,nan,098-765-4321,,,,Charlie,25,70000,Male,Marketing,Manager,1/15/2020,A,,098-765-4321,
 frank ,thirty,65000,Male,IT,Analyst,3/25/2019,C,user@domain.com,555-555-5555,,,,Frank,30,65000,Male,IT,Analyst,3/25/2019,C,user@domain.com,555-555-5555,
 hannah ,thirty,65000,Male,Finance,Director,2/20/2020,D,, ,,,,Hannah,30,65000,Male,Finance,Director,2/20/2020,D,,,
 bob ,40,50000,Male,HR,Manager,3/25/2019,C,,123-456-7890,,,,Bob,40,50000,Male,HR,Manager,3/25/2019,C,,123-456-7890,
 eve ,25,50000,Other,Sales,Manager,2/20/2020,B,nan, ,,,,Eve,25,50000,Other,Sales,Manager,2/20/2020,B,,,
 alice ,25, NAN ,Other,Finance,Director,5-Apr-18,B,name@company.org,nan,,,,Alice,25,  ,Other,Finance,Director,4/5/2018,B,name@company.org,,
 alice ,25,70000,Other,IT,Clerk,3/25/2019,F,nan,555-555-5555,,,,Alice,25,70000,Other,IT,Clerk,3/25/2019,F,,555-555-5555,
 eve ,25,65000,Other,Finance,Director,3/25/2019,B,,555-555-5555,,,,Eve,25,65000,Other,Finance,Director,3/25/2019,B,,555-555-5555,
 charlie ,25, NAN ,Male,Finance,Director,2019.12.01,C,email@example.com,nan,,,,Charlie,25,  ,Male,Finance,Director,12/1/2019,C,email@example.com,,
 david ,40, NAN ,Other,IT,Clerk,3/25/2019,B,email@example.com,123-456-7890,,,,David,40,  ,Other,IT,Clerk,3/25/2019,B,email@example.com,123-456-7890,
 charlie ,35,55000,Male,Marketing,Director,2/20/2020,D,user@domain.com,nan,,,,Charlie,35,55000,Male,Marketing,Director,2/20/2020,D,user@domain.com,,
 alice ,thirty,50000,Other,Marketing,Manager,2019.12.01,B,user@domain.com,123-456-7890,,,,Alice,30,50000,Other,Marketing,Manager,12/1/2019,B,user@domain.com,123-456-7890,
 alice ,25,70000,Female,HR,Director,3/25/2019,F,email@example.com,098-765-4321,,,,Alice,25,70000,Female,HR,Director,3/25/2019,F,email@example.com,098-765-4321,
 eve ,35,65000,Other,HR,Clerk,3/25/2019,B,,555-555-5555,,,,Eve,35,65000,Other,HR,Clerk,3/25/2019,B,,555-555-5555,
 frank ,35, NAN ,Other,Marketing,Assistant,5-Apr-18,C,user@domain.com,123-456-7890,,,,Frank,35,  ,Other,Marketing,Assistant,4/5/2018,C,user@domain.com,123-456-7890,
 charlie ,thirty,65000,Male,Sales,Director,3/25/2019,C,nan, ,,,,Charlie,30,65000,Male,Sales,Director,3/25/2019,C,,,
 ivy ,40,55000,Other,Finance,Analyst,1/15/2020,B,nan, ,,,,Ivy,40,55000,Other,Finance,Analyst,1/15/2020,B,,,
 eve ,nan,70000,Female,Sales,Manager,2019.12.01,C,,555-555-5555,,,,Eve,,70000,Female,Sales,Manager,12/1/2019,C,,555-555-5555,
 hannah ,nan, NAN ,Male,Finance,Manager,1/15/2020,C,user@domain.com,nan,,,,Hannah,,  ,Male,Finance,Manager,1/15/2020,C,user@domain.com,,
 alice ,35,65000,Male,Marketing,Analyst,2019.12.01,F,nan,nan,,,,Alice,35,65000,Male,Marketing,Analyst,12/1/2019,F,,,
 eve ,50,50000,Other,HR,Analyst,5-Apr-18,D,user@domain.com,123-456-7890,,,,Eve,50,50000,Other,HR,Analyst,4/5/2018,D,user@domain.com,123-456-7890,
 charlie ,50,55000,Male,HR,Director,3/25/2019,F,user@domain.com,nan,,,,Charlie,50,55000,Male,HR,Director,3/25/2019,F,user@domain.com,,
 alice ,thirty,70000,Male,Sales,Analyst,3/25/2019,A,nan,555-555-5555,,,,Alice,30,70000,Male,Sales,Analyst,3/25/2019,A,,555-555-5555,
 david ,nan,55000,Male,HR,Assistant,3/25/2019,F,email@example.com,123-456-7890,,,,David,,55000,Male,HR,Assistant,3/25/2019,F,email@example.com,123-456-7890,
 eve ,35,50000,Male,Marketing,Clerk,2019.12.01,B,nan,098-765-4321,,,,Eve,35,50000,Male,Marketing,Clerk,12/1/2019,B,,098-765-4321,
 grace ,40,70000,Male,Sales,Analyst,3/25/2019,D,,nan,,,,Grace,40,70000,Male,Sales,Analyst,3/25/2019,D,,,
 alice ,nan,55000,Male,Finance,Analyst,1/15/2020,B,name@company.org,nan,,,,Alice,,55000,Male,Finance,Analyst,1/15/2020,B,name@company.org,,
 charlie ,35,SIXTY THOUSAND,Female,HR,Assistant,3/25/2019,A,nan,123-456-7890,,,,Charlie,35,60000,Female,HR,Assistant,3/25/2019,A,,123-456-7890,
 bob ,35,50000,Other,IT,Manager,5-Apr-18,D,user@domain.com, ,,,,Bob,35,50000,Other,IT,Manager,4/5/2018,D,user@domain.com,,
 ivy ,25,50000,Female,HR,Manager,1/15/2020,C,user@domain.com,nan,,,,Ivy,25,50000,Female,HR,Manager,1/15/2020,C,user@domain.com,,
 jack ,40,50000,Male,Finance,Director,3/25/2019,F,nan,555-555-5555,,,,Jack,40,50000,Male,Finance,Director,3/25/2019,F,,555-555-5555,
 frank ,25,SIXTY THOUSAND,Male,Sales,Assistant,3/25/2019,B,name@company.org,nan,,,,Frank,25,60000,Male,Sales,Assistant,3/25/2019,B,name@company.org,,
 jack ,thirty,SIXTY THOUSAND,Other,Finance,Clerk,2/20/2020,A,nan,098-765-4321,,,,Jack,30,60000,Other,Finance,Clerk,2/20/2020,A,,098-765-4321,
 charlie ,25,65000,Female,IT,Clerk,2019.12.01,C,name@company.org,nan,,,,Charlie,25,65000,Female,IT,Clerk,12/1/2019,C,name@company.org,,
 hannah ,25, NAN ,Other,Marketing,Assistant,1/15/2020,F,name@company.org, ,,,,Hannah,25,  ,Other,Marketing,Assistant,1/15/2020,F,name@company.org,,
 hannah ,nan,55000,Female,HR,Clerk,2/20/2020,C,,nan,,,,Hannah,,55000,Female,HR,Clerk,2/20/2020,C,,,
 bob ,50,65000,Male,Sales,Manager,5-Apr-18,F,user@domain.com,123-456-7890,,,,Bob,50,65000,Male,Sales,Manager,4/5/2018,F,user@domain.com,123-456-7890,
 frank ,35,55000,Other,Marketing,Clerk,2019.12.01,D,user@domain.com,nan,,,,Frank,35,55000,Other,Marketing,Clerk,12/1/2019,D,user@domain.com,,
 grace ,40, NAN ,Other,Finance,Clerk,1/15/2020,C,name@company.org, ,,,,Grace,40,  ,Other,Finance,Clerk,1/15/2020,C,name@company.org,,
 bob ,25,SIXTY THOUSAND,Male,Sales,Assistant,3/25/2019,C,user@domain.com,123-456-7890,,,,Bob,25,60000,Male,Sales,Assistant,3/25/2019,C,user@domain.com,123-456-7890,
 jack ,40, NAN ,Other,Marketing,Assistant,1/15/2020,C,email@example.com,555-555-5555,,,,Jack,40,  ,Other,Marketing,Assistant,1/15/2020,C,email@example.com,555-555-5555,
 bob ,50,SIXTY THOUSAND,Female,Sales,Clerk,3/25/2019,D,name@company.org,123-456-7890,,,,Bob,50,60000,Female,Sales,Clerk,3/25/2019,D,name@company.org,123-456-7890,
